threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
1e-5,4.35795921936616e-7,4.07807910881909e-7,0
1e-5,4.13839843697555e-7,8.23657468328173e-7,0
1e-5,9.26418779544891e-7,3.04777266129666e-7,0
1e-5,1.86732275200176e-6,3.78431287444219e-7,0
1e-5,5.28804806953641e-7,9.01301955618744e-7,0
1e-5,2.3543392932933e-7,4.53686477709166e-7,0
1e-5,7.68556131478467e-7,1.5795922306129e-6,0
1e-5,4.77348521659506e-7,1.81959450826332e-7,0
1e-5,2.09558325716792e-6,5.49587058758824e-7,0
1e-5,4.64063530822685e-7,5.88905334674185e-7,0
