threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
1e-5,6.92345690024167e-7,9.44142633110734e-7,5.34475370102986e-8
1e-5,2.06850384871714e-6,5.30184282048717e-7,5.34475370102986e-8
1e-5,5.74616129751402e-7,6.7175449819533e-7,5.34475370102986e-8
1e-5,2.28192995167286e-6,1.153495064895e-6,5.34475370102986e-8
1e-5,6.57079773616265e-7,6.84194256838202e-7,5.34475370102986e-8
1e-5,8.12716908103775e-7,2.07767211937853e-7,5.34475370102986e-8
1e-5,8.36656240938233e-7,5.7220135586693e-7,5.34475370102986e-8
1e-5,1.33585255625338e-6,1.46477215744263e-6,5.34475370102986e-8
1e-5,1.23321351485843e-6,3.20744480709671e-6,5.34475370102986e-8
1e-5,4.1835176096366e-7,2.80992397775742e-7,5.34475370102986e-8
