threshold,LUPP_sketch_cur,LUPP_iterative_cur,QRPP_iterative_cur,svds
1e-5,9.30302729135454e-14,9.20970786612042e-14,5.800995211246031e-14,5.0686390633415805e-15
1e-5,9.69906299748749e-14,9.410352270141711e-14,6.48483691074558e-14,5.0686390633415805e-15
1e-5,8.4917549787539e-14,9.1215056723647e-14,6.20173075260571e-14,5.0686390633415805e-15
1e-5,9.27169870703436e-14,1.05134572305628e-13,5.79834408615525e-14,5.0686390633415805e-15
1e-5,9.472630221467921e-14,9.239051916452641e-14,5.68814224629337e-14,5.0686390633415805e-15
1e-5,9.43226651700362e-14,9.57892825342002e-14,5.76040992259802e-14,5.0686390633415805e-15
1e-5,1.03356541992439e-13,8.96219679421849e-14,6.12945611351513e-14,5.0686390633415805e-15
1e-5,9.779986783618321e-14,9.116257227613261e-14,5.97668061371295e-14,5.0686390633415805e-15
1e-5,1.03108641960577e-13,1.00976484971468e-13,6.01873150432837e-14,5.0686390633415805e-15
1e-5,8.9472241810001e-14,8.95580557927326e-14,5.67867232775617e-14,5.0686390633415805e-15
