threshold,LUPP_sketch_cur,LUPP_iterative_cur,QRPP_iterative_cur,svds
1e-5,58.506757,16.093269,39.304273,153.44032
1e-5,45.02347,25.895053,55.856831,185.459449
1e-5,49.643312,36.818582,64.687024,195.897766
1e-5,39.359097,59.945449000000004,67.716906,194.023106
1e-5,39.641707,12.236673,69.192872,196.031168
1e-5,62.178826,12.939828,66.931516,205.868364
1e-5,15.421302,12.747491,66.916366,210.927553
1e-5,16.319375,13.177354,69.20385,204.548106
1e-5,52.436511,12.703427,62.066465,183.281849
1e-5,16.137677,13.041667,63.345092,216.776293
