threshold,LUPP_sketch_cur,LUPP_iterative_cur,QRPP_iterative_cur,svds
0.001,0.00195702339513695,1.696185017223e-4,3.5833863787198e-4,1.91342391867266e-5
0.001,0.00166489892332281,2.8134652956632e-4,3.0406374833844e-4,1.91342391867266e-5
0.001,0.00201014423172673,2.4056732632474e-4,3.321697436015e-4,1.91342391867266e-5
0.001,7.9622438310034e-4,3.4217065738958e-4,2.5260903625884e-4,1.91342391867266e-5
0.001,0.00175063134230234,1.8667351497713e-4,1.5097064618353e-4,1.91342391867266e-5
0.001,0.00159189967866402,8.97758540526408e-5,1.2802805838763e-4,1.91342391867266e-5
0.001,0.00125579202011786,1.9069660893237e-4,2.3443605947984e-4,1.91342391867266e-5
0.001,0.00134676388163864,2.6100157917338e-4,1.4325886999916e-4,1.91342391867266e-5
0.001,0.00169855093094718,2.6487138181875e-4,2.0507527183747e-4,1.91342391867266e-5
0.001,0.00199776825952849,2.9365021060259e-4,2.8508197522191e-4,1.91342391867266e-5
