threshold,LUPP_sketch_cur,LUPP_iterative_cur,QRPP_iterative_cur,svds
0.001,34.231666,28.124799,71.102759,225.817975
0.001,22.310047,22.868095,70.493975,274.728927
0.001,11.086676,30.984616,50.735168,296.992246
0.001,24.004672,25.968822,51.994462,263.823545
0.001,24.417603,25.639704,75.229487,273.418631
0.001,9.737314,23.230791,39.121467,337.391553
0.001,18.018841,4.302362,36.73778,297.025456
0.001,11.498475,4.418273,28.066988,272.128378
0.001,19.613243,4.391249,45.601883,267.194404
0.001,14.79762,3.179044,40.705937,228.511157
