threshold,LUPP_sketch_cur,LUPP_iterative_cur,QRPP_iterative_cur,svds
1e-5,5.1635414409633e-4,2.10808803881677e-6,3.02030980559559e-6,8.28452272510942e-6
1e-5,5.0107248609639e-4,2.09405328476572e-6,1.56409389670696e-6,8.28452272510942e-6
1e-5,4.9343129041504e-4,2.12559676635301e-6,3.02915422479554e-6,8.28452272510942e-6
1e-5,5.0738170050757e-4,2.10036715230311e-6,3.08910241459295e-6,8.28452272510942e-6
1e-5,5.5036136374024e-4,2.24229676558535e-6,2.97767687368068e-6,8.28452272510942e-6
1e-5,5.0868196962056e-4,2.17186269128269e-6,3.0421236095006e-6,8.28452272510942e-6
1e-5,5.1842321599826e-4,2.10037119705314e-6,1.46891337405585e-6,8.28452272510942e-6
1e-5,5.3246485311282e-4,2.08085482062128e-6,1.52238518457842e-6,8.28452272510942e-6
1e-5,4.8399690951998e-4,2.13727531923404e-6,3.14686609369074e-6,8.28452272510942e-6
1e-5,6.3168878973364e-4,2.25699875525196e-6,3.05429361217142e-6,8.28452272510942e-6
