threshold,LUPP_sketch_cur,LUPP_iterative_cur,QRPP_iterative_cur,svds
1e-5,67.903836,76.803744,204.713588,361.166845
1e-5,74.523877,74.276294,166.989761,392.072715
1e-5,52.863581,92.904093,138.80761,327.324848
1e-5,39.81016,62.792744,166.550369,309.29494
1e-5,69.16145,69.624088,159.784746,272.059359
1e-5,69.964526,88.062594,162.894077,229.878029
1e-5,68.744427,58.924999,190.532234,292.687027
1e-5,97.179022,67.455292,181.619399,364.418126
1e-5,76.805993,71.774175,211.097491,396.049889
1e-5,70.535812,75.686352,169.125935,404.911566
