threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
5e-4,4.6594317427321e-4,4.900046485627e-4,4.6691793233554e-4
5e-4,4.6594320493158e-4,5.0160273564203e-4,4.6691793233554e-4
5e-4,4.6594318439207e-4,5.0160277896144e-4,4.6691793233554e-4
5e-4,4.6594308497766e-4,5.0160269922523e-4,4.6691793233554e-4
5e-4,4.6594319799541e-4,5.0160269216272e-4,4.6691793233554e-4
5e-4,4.659432311228e-4,5.1293866819183e-4,4.6691793233554e-4
5e-4,4.659431304517e-4,5.0160284755355e-4,4.6691793233554e-4
5e-4,4.6595109001344e-4,5.1293865973756e-4,4.6691793233554e-4
5e-4,4.659432792776e-4,5.016027754768e-4,4.6691793233554e-4
5e-4,4.6594313196133e-4,4.7812525535587e-4,4.6691793233554e-4
