threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
7e-4,6.4201932597412e-4,6.7127483050063e-4,6.3607459316329e-4
7e-4,6.4303756765067e-4,6.707465339809e-4,6.3607459316329e-4
7e-4,6.4201028222042e-4,6.7119967190339e-4,6.3607459316329e-4
7e-4,6.4177140009749e-4,6.7080084576794e-4,6.3607459316329e-4
7e-4,6.4202690013977e-4,6.717468156619e-4,6.3607459316329e-4
7e-4,6.42521204464e-4,7.0504574015618e-4,6.3607459316329e-4
7e-4,6.4279609299154e-4,0.00067067207533075995,6.3607459316329e-4
7e-4,6.4149069186468e-4,6.7114336770687e-4,6.3607459316329e-4
7e-4,6.4188164235503e-4,7.0468066060595e-4,6.3607459316329e-4
7e-4,6.4280983335415e-4,7.0434356232339e-4,6.3607459316329e-4
