rank,lupp,qr,os,svd,svds
200,5.21855515568067e-09,4.74557589233617e-09,8.53806748746856e-09,4.55224061963187e-09,4.71091805307628e-09
200,4.72265717731754e-09,4.720576293299e-09,8.5775746959378e-09,4.55224061963187e-09,4.71091805307628e-09
200,4.74362437221653e-09,5.17407997299187e-09,9.318211655282e-09,4.55224061963187e-09,4.71091805307628e-09
200,4.80252403487261e-09,5.18500983161629e-09,8.16332879693442e-09,4.55224061963187e-09,4.71091805307628e-09
200,4.75299801838983e-09,4.72053862728702e-09,9.33947686993258e-09,4.55224061963187e-09,4.71091805307628e-09
400,3.14640684698123e-09,3.13834927703746e-09,3.49494399208291e-09,2.21426825468265e-09,2.37009185006807e-09
400,3.12375177792588e-09,3.24542942823118e-09,3.41461766242509e-09,2.21426825468265e-09,2.37009185006807e-09
400,3.13190107857413e-09,3.17200886493158e-09,3.37516866964337e-09,2.21426825468265e-09,2.37009185006807e-09
400,3.15128788286781e-09,3.10769672244395e-09,3.61866996973135e-09,2.21426825468265e-09,2.37009185006807e-09
400,3.1436904148985e-09,3.17353609641015e-09,3.45296202598833e-09,2.21426825468265e-09,2.37009185006807e-09
600,2.24191349368952e-09,2.16671049776219e-09,2.82978277421711e-09,1.43948321855346e-09,1.559740319941e-09
600,2.16437560613523e-09,2.14905735187235e-09,2.85429364093035e-09,1.43948321855346e-09,1.559740319941e-09
600,2.16594214299297e-09,2.19605489519821e-09,2.82345087168704e-09,1.43948321855346e-09,1.559740319941e-09
600,2.18081656184942e-09,2.13116926399191e-09,2.81505796740967e-09,1.43948321855346e-09,1.559740319941e-09
600,2.21858186157062e-09,2.15866381028996e-09,2.74160214073533e-09,1.43948321855346e-09,1.559740319941e-09
800,1.05464856859641e-09,1.05819278663474e-09,2.12713365092516e-09,7.88656131556183e-10,8.74298618207603e-10
800,1.04789576756597e-09,1.05299688855056e-09,2.13096067541824e-09,7.88656131556183e-10,8.74298618207603e-10
800,1.02101251425055e-09,1.06191069158678e-09,2.08631537805701e-09,7.88656131556183e-10,8.74298618207603e-10
800,1.04779786479476e-09,1.05404798696304e-09,2.13735738816528e-09,7.88656131556183e-10,8.74298618207603e-10
800,1.00433719272257e-09,1.06519861330499e-09,2.21008258904514e-09,7.88656131556183e-10,8.74298618207603e-10
1000,5.35689231997838e-10,5.39446797717317e-10,1.42741934593646e-09,3.50349559219275e-10,3.83760537191972e-10
1000,5.38123711078527e-10,5.53507006082839e-10,1.38342087473069e-09,3.50349559219275e-10,3.83760537191972e-10
1000,5.03130141827382e-10,5.47364179233755e-10,1.44531492524354e-09,3.50349559219275e-10,3.83760537191972e-10
1000,5.11214054906437e-10,5.49147004909575e-10,1.32185217198795e-09,3.50349559219275e-10,3.83760537191972e-10
1000,5.05975792642462e-10,5.41004452741064e-10,1.39761001151081e-09,3.50349559219275e-10,3.83760537191972e-10
1200,2.38365599034787e-10,2.4778474691051e-10,7.80167052813898e-10,1.27843339211125e-10,1.44754935899921e-10
1200,2.30210021096077e-10,2.38749556331636e-10,7.94895070859428e-10,1.27843339211125e-10,1.44754935899921e-10
1200,2.2225854572597e-10,2.37110843998085e-10,7.34677029177035e-10,1.27843339211125e-10,1.44754935899921e-10
1200,2.34304723094604e-10,2.23616355599908e-10,7.46025646960977e-10,1.27843339211125e-10,1.44754935899921e-10
1200,2.55177924594454e-10,2.28134577621111e-10,7.83482039348223e-10,1.27843339211125e-10,1.44754935899921e-10
