rank,lupp,qr,os,svd,svds
150,1.45723140930055,1.34529820743769,1.28744260275464,0.45603302473736,0.512747531422162
150,1.38716971702771,1.32977955186805,1.30051455819397,0.45603302473736,0.512747531422162
150,1.48202280712453,1.2719336867851,1.24062951245448,0.45603302473736,0.512747531422162
150,1.43862718405514,1.32301500255234,1.28673081804175,0.45603302473736,0.512747531422162
150,1.43871104738761,1.34873673695749,1.24017459384262,0.45603302473736,0.512747531422162
350,1.96087887338744e-15,1.89897232446614e-15,1.90560414086811e-15,2.03900117928543e-16,4.41702905701987e-15
350,1.83649093275809e-15,1.86902652884795e-15,1.93129961009907e-15,2.03900117928543e-16,4.41702905701987e-15
350,1.91509315817753e-15,1.87992113971961e-15,1.87282143147245e-15,2.03900117928543e-16,4.41702905701987e-15
350,1.88114975173843e-15,1.8826102612428e-15,1.98295902573518e-15,2.03900117928543e-16,4.41702905701987e-15
350,1.88778083912417e-15,1.87655531975578e-15,2.04373693204033e-15,2.03900117928543e-16,4.41702905701987e-15
550,1.56151648686983e-15,1.58464369507865e-15,1.64262962962086e-15,9.51148611616964e-17,1.5997293474035e-12
550,1.51644441487159e-15,1.53793778074103e-15,1.66041090603178e-15,9.51148611616964e-17,1.5997293474035e-12
550,1.49562337744869e-15,1.52235533393085e-15,1.64941510692486e-15,9.51148611616964e-17,1.5997293474035e-12
550,1.5158232987799e-15,1.49981591193229e-15,1.58670055678814e-15,9.51148611616964e-17,1.5997293474035e-12
550,1.51812481035468e-15,1.55315235061038e-15,1.62158475376855e-15,9.51148611616964e-17,1.5997293474035e-12
750,1.40066505846169e-15,1.38465264983977e-15,1.52367364585177e-15,3.48896165030051e-17,2.00334510153426e-12
750,1.39884928795296e-15,1.43472961316399e-15,1.42478435059658e-15,3.48896165030051e-17,2.00334510153426e-12
750,1.37411311619158e-15,1.39990170284844e-15,1.47304493775006e-15,3.48896165030051e-17,2.00334510153426e-12
750,1.39412637949734e-15,1.41472588649875e-15,1.48973177398247e-15,3.48896165030051e-17,2.00334510153426e-12
750,1.35910242627629e-15,1.38559572507136e-15,1.51242699815416e-15,3.48896165030051e-17,2.00334510153426e-12
950,1.44240892435037e-15,1.41877202012328e-15,1.41780181619723e-15,2.86653251470282e-18,2.00334510153426e-12
950,1.3548637804509e-15,1.32847304051656e-15,1.43674762970028e-15,2.86653251470282e-18,2.00334510153426e-12
950,1.43193168155454e-15,1.48178282362544e-15,1.51073258685334e-15,2.86653251470282e-18,2.00334510153426e-12
950,1.31971286133292e-15,1.36565562292767e-15,1.46515745577733e-15,2.86653251470282e-18,2.00334510153426e-12
950,1.36842356955906e-15,1.42803729660238e-15,1.34476518200111e-15,2.86653251470282e-18,2.00334510153426e-12
