rank,lupp,qr,os,svd,svds
150,0.000366047903045998,0.00033226792964206,0.000396818544759348,0.000165028054779816,0.000176626884238504
150,0.000354482710896647,0.000353954222958606,0.000449778604178705,0.000165028054779816,0.000176626884238504
150,0.000352272797837272,0.000329119798330567,0.000397572749817429,0.000165028054779816,0.000176626884238504
150,0.000350729320622567,0.000340760496709483,0.000385108402455448,0.000165028054779816,0.000176626884238504
150,0.000347668981753761,0.000336542191402443,0.000412542660075158,0.000165028054779816,0.000176626884238504
350,0.000104945752718293,0.000102130686364782,0.000121304086416516,5.43218814006175e-05,5.78593608554059e-05
350,0.000105461578100632,0.000100497479734941,0.000124572932527143,5.43218814006175e-05,5.78593608554059e-05
350,0.000106483228751488,0.000103973125423872,0.000128732344700206,5.43218814006175e-05,5.78593608554059e-05
350,0.000105595507245379,0.000100799521297846,0.000127840589576289,5.43218814006175e-05,5.78593608554059e-05
350,0.000104153784607228,0.000103056023375033,0.000126817517517677,5.43218814006175e-05,5.78593608554059e-05
550,5.82180102946614e-05,5.68155192531292e-05,6.71218134340116e-05,3.18652607876987e-05,3.4414706200339e-05
550,5.90931763573666e-05,5.70730811387429e-05,6.90121107439698e-05,3.18652607876987e-05,3.4414706200339e-05
550,5.84693944327811e-05,5.74572591990699e-05,6.90748731788257e-05,3.18652607876987e-05,3.4414706200339e-05
550,5.9217144251779e-05,5.62968605045556e-05,6.64931406587985e-05,3.18652607876987e-05,3.4414706200339e-05
550,5.82294603902184e-05,5.66862994617707e-05,6.43532242756321e-05,3.18652607876987e-05,3.4414706200339e-05
750,3.89187381775743e-05,3.8729852827002e-05,4.0398039952471e-05,2.04559711485561e-05,2.27489715192805e-05
750,3.87298528270013e-05,3.87298528270017e-05,3.98497376152118e-05,2.04559711485561e-05,2.27489715192805e-05
750,3.89187381775738e-05,3.87298528270018e-05,4.00333394726773e-05,2.04559711485561e-05,2.27489715192805e-05
750,3.8729852827001e-05,3.8729852827002e-05,3.96652859143608e-05,2.04559711485561e-05,2.27489715192805e-05
750,3.87298528270013e-05,3.87298528270008e-05,3.92937850556693e-05,2.04559711485561e-05,2.27489715192805e-05
950,1.7320516735947e-05,1.73205167359481e-05,1.73205167359492e-05,8.67866465054959e-06,9.68770561033725e-06
950,1.73205167359476e-05,1.73205167359487e-05,1.73205167359486e-05,8.67866465054959e-06,9.68770561033725e-06
950,1.7320516735948e-05,1.73205167359483e-05,1.73205167359477e-05,8.67866465054959e-06,9.68770561033725e-06
950,1.73205167359473e-05,1.73205167359484e-05,1.73205167359458e-05,8.67866465054959e-06,9.68770561033725e-06
950,1.73205167359491e-05,1.73205167359479e-05,1.73205167359473e-05,8.67866465054959e-06,9.68770561033725e-06
