rank,lupp,qr,os,svd,svds
150,0.00104901308133112,0.000991801361743951,0.00111374058345154,0.000433939633625714,0.00046515861276239
150,0.000956737243491179,0.000992599884016566,0.00105608925994098,0.000433939633625714,0.00046515861276239
150,0.00100046925907583,0.000995277915762797,0.00106926979578274,0.000433939633625714,0.00046515861276239
150,0.00109065705574518,0.000937134444294963,0.00105738524547869,0.000433939633625714,0.00046515861276239
150,0.000989459105674333,0.000987837887380711,0.0010004743169054,0.000433939633625714,0.00046515861276239
350,0.000241536739833918,0.000231542242902562,0.000291058300736803,0.000114107754960305,0.000122778139100162
350,0.000238590268978354,0.000228400496847381,0.000279617689551398,0.000114107754960305,0.000122778139100162
350,0.000241398070003754,0.000231216078653129,0.000283045968010168,0.000114107754960305,0.000122778139100162
350,0.000232730992486537,0.000231922149842904,0.000258725300076797,0.000114107754960305,0.000122778139100162
350,0.000235967518889031,0.000233598470124048,0.000274629862776124,0.000114107754960305,0.000122778139100162
550,9.69297944632991e-05,9.44230135290986e-05,0.000122583384288257,5.03930005326089e-05,5.47276029839948e-05
550,9.68040073458227e-05,9.43498169816375e-05,0.000117402817153061,5.03930005326089e-05,5.47276029839948e-05
550,9.63942922199222e-05,9.33739687928373e-05,0.000116005102591326,5.03930005326089e-05,5.47276029839948e-05
550,9.42205759578667e-05,9.64387537188718e-05,0.000119373421025686,5.03930005326089e-05,5.47276029839948e-05
550,9.92338292047097e-05,9.46784068852499e-05,0.000118660615585738,5.03930005326089e-05,5.47276029839948e-05
750,4.50402072052236e-05,4.39816223804011e-05,5.36940608326522e-05,2.39579593184253e-05,2.64948727931251e-05
750,4.47070718953908e-05,4.29276810520845e-05,5.13874454444341e-05,2.39579593184253e-05,2.64948727931251e-05
750,4.58913986648926e-05,4.29816979516615e-05,5.33672583440572e-05,2.39579593184253e-05,2.64948727931251e-05
750,4.58121979176848e-05,4.33139716390903e-05,5.4502857453438e-05,2.39579593184253e-05,2.64948727931251e-05
750,4.46247865589422e-05,4.45181663600219e-05,5.48504905134766e-05,2.39579593184253e-05,2.64948727931251e-05
950,1.42041594349333e-05,1.35815164169305e-05,1.56047145167408e-05,7.16476667831549e-06,8.52905474964624e-06
950,1.42151358711958e-05,1.39943371315543e-05,1.52655555950249e-05,7.16476667831549e-06,8.52905474964624e-06
950,1.42321145571886e-05,1.37748542204163e-05,1.56973999056973e-05,7.16476667831549e-06,8.52905474964624e-06
950,1.43155034761148e-05,1.37999621125197e-05,1.59286281887477e-05,7.16476667831549e-06,8.52905474964624e-06
950,1.4079456655899e-05,1.36364518852581e-05,1.47345973867826e-05,7.16476667831549e-06,8.52905474964624e-06
