trial, method, size, rank, quality
1, lupp, 6000, 500,
2, lupp, 6000, 500,
3, lupp, 6000, 500,
4, lupp, 6000, 500,
5, lupp, 6000, 500,
1, os, 6000, 500,
2, os, 6000, 500,
3, os, 6000, 500,
4, os, 6000, 500,
5, os, 6000, 500,
1, qr, 6000, 500,
2, qr, 6000, 500,
3, qr, 6000, 500,
4, qr, 6000, 500,
5, qr, 6000, 500,
1, lupp, 6000, 500,
2, lupp, 6000, 500,
3, lupp, 6000, 500,
4, lupp, 6000, 500,
5, lupp, 6000, 500,
1, os, 6000, 500,
2, os, 6000, 500,
3, os, 6000, 500,
4, os, 6000, 500,
5, os, 6000, 500,
1, qr, 6000, 500,
2, qr, 6000, 500,
3, qr, 6000, 500,
4, qr, 6000, 500,
5, qr, 6000, 500,
1, lupp, 6000, 500,
2, lupp, 6000, 500,
3, lupp, 6000, 500,
4, lupp, 6000, 500,
5, lupp, 6000, 500,
1, os, 6000, 500,
2, os, 6000, 500,
3, os, 6000, 500,
4, os, 6000, 500,
5, os, 6000, 500,
1, qr, 6000, 500,
2, qr, 6000, 500,
3, qr, 6000, 500,
4, qr, 6000, 500,
5, qr, 6000, 500,
1, lupp, 6000, 500,
2, lupp, 6000, 500,
3, lupp, 6000, 500,
4, lupp, 6000, 500,
5, lupp, 6000, 500,
1, os, 6000, 500,
2, os, 6000, 500,
3, os, 6000, 500,
4, os, 6000, 500,
5, os, 6000, 500,
1, qr, 6000, 500,
2, qr, 6000, 500,
3, qr, 6000, 500,
4, qr, 6000, 500,
5, qr, 6000, 500,
1, lupp, 6000, 500,
2, lupp, 6000, 500,
3, lupp, 6000, 500,
4, lupp, 6000, 500,
5, lupp, 6000, 500,
1, os, 6000, 500,
2, os, 6000, 500,
3, os, 6000, 500,
4, os, 6000, 500,
5, os, 6000, 500,
1, qr, 6000, 500,
2, qr, 6000, 500,
3, qr, 6000, 500,
4, qr, 6000, 500,
5, qr, 6000, 500,
