trial, method, size, rank, quality
1, lupp,6000,500, .49
2, lupp,6000,500,0.51
3, lupp,6000,500,0.51
4, lupp,6000,500,0.49
5, lupp,6000,500,0.50
1, os,6000,500,0.56
2, os,6000,500,0.55
3, os,6000,500,0.57
4, os,6000,500,0.58
5, os,6000,500,0.57
1, qr,6000,500,0.45
2, qr,6000,500,0.49
3, qr,6000,500,0.48
4, qr,6000,500,0.49
5, qr,6000,500,0.45
1, lupp,6000,1000,0.05
2, lupp,6000,1000,0.05
3, lupp,6000,1000,0.05
4, lupp,6000,1000,0.05
5, lupp,6000,1000,0.05
1, os,6000,1000,0.05
2, os,6000,1000,0.06
3, os,6000,1000,0.05
4, os,6000,1000,0.05
5, os,6000,1000,0.05
1, qr,6000,1000,0.04
2, qr,6000,1000,0.04
3, qr,6000,1000,0.04
4, qr,6000,1000,0.04
5, qr,6000,1000,0.04
1, lupp,6000,1500,0.0032
2, lupp,6000,1500,0.0032
3, lupp,6000,1500,0.0034
4, lupp,6000,1500,0.0031
5, lupp,6000,1500,0.0033
1, os,6000,1500,0.0037
2, os,6000,1500,0.0037
3, os,6000,1500,0.0037
4, os,6000,1500,0.0036
5, os,6000,1500,0.0039
1, qr,6000,1500,0.003
2, qr,6000,1500,0.003
3, qr,6000,1500,0.003
4, qr,6000,1500,0.003
5, qr,6000,1500,0.003
1, lupp,6000,2000,2.09E-04
2, lupp,6000,2000,1.96E-04
3, lupp,6000,2000,1.98E-04
4, lupp,6000,2000,2.019E-04
5, lupp,6000,2000,1.96E-04
1, os,6000,2000,2.21E-04
2, os,6000,2000,2.15E-04
3, os,6000,2000,2.32E-04
4, os,6000,2000,2.32E-04
5, os,6000,2000,2.17E-04
1, qr,6000,2000,1.9E-04
2, qr,6000,2000,2E-04
3, qr,6000,2000,1.85E-04
4, qr,6000,2000,1.82E-04
5, qr,6000,2000,1.96E-04
1, lupp,6000,2500,1.17E-05
2, lupp,6000,2500,1.25E-05
3, lupp,6000,2500,1.16E-05
4, lupp,6000,2500,1.16E-05
5, lupp,6000,2500,1.11E-05
1, os,6000,2500,1.28E-05
2, os,6000,2500,1.28E-05
3, os,6000,2500,1.33E-05
4, os,6000,2500,1.33E-05
5, os,6000,2500,1.26E-05
1, qr,6000,2500, 1.03E-05
2, qr,6000,2500, 1.06E-05
3, qr,6000,2500, 1.08E-05
4, qr,6000,2500, 1.11E-05
5, qr,6000,2500,1.02E-05
1, lupp,6000,3000,6.88E-07
2, lupp,6000,3000,6.49E-07
3, lupp,6000,3000, 6.10E-07
4, lupp,6000,3000, 6.59E-07
5, lupp,6000,3000, 6.54E-07
1, os,6000,3000, 7.29E-07
2, os,6000,3000, 7.69E-07
3, os,6000,3000, 6.88E-07
4, os,6000,3000, 6.98E-07
5, os,6000,3000, 7E-07
1, qr,6000,3000, 6.09E-07
2, qr,6000,3000, 5.98E-07
3, qr,6000,3000, 6.09E-07
4, qr,6000,3000, 6.12E-07
5, qr,6000,3000, 6.09E-07
1, lupp,6000,3500,3.66E-08
2, lupp,6000,3500,3.61E-08
3, lupp,6000,3500, 3.51E-08
4, lupp,6000,3500, 3.51E-08
5, lupp,6000,3500, 3.6E-08
1, os,6000,3500, 3.86E-08
2, os,6000,3500, 4E-08
3, os,6000,3500, 4.45E-08
4, os,6000,3500, 3.79E-08
5, os,6000,3500, 3.96E-08
1, qr,6000,3500, 3.44E-08
2, qr,6000,3500, 3.33E-08
3, qr,6000,3500, 3.32E-08
4, qr,6000,3500, 3.2E-08
5, qr,6000,3500, 3.3E-08
1, lupp,6000,4000, 1.99E-09
2, lupp,6000,4000, 1.93E-09
3, lupp,6000,4000, 1.94E-09
4, lupp,6000,4000, 1.92E-09
5, lupp,6000,4000, 1.86E-09
1, os,6000,4000, 2.17E-09
2, os,6000,4000, 2.11E-09
3, os,6000,4000, 2.09E-09
4, os,6000,4000, 2.06E-09
5, os,6000,4000, 2.039E-09
1, qr,6000,4000, 1.81E-09
2, qr,6000,4000, 1.73E-09
3, qr,6000,4000, 1.84E-09
4, qr,6000,4000, 1.75E-09
5, qr,6000,4000, 1.76E-09
1, lupp,6000,4500, 1.02E-10
2, lupp,6000,4500, 1.03E-10
3, lupp,6000,4500, 1.02E-10
4, lupp,6000,4500, 1.05E-10
5, lupp,6000,4500, 1.09E-10
1, os,6000,4500, 1.12E-10
2, os,6000,4500, 1.07E-10
3, os,6000,4500, 1.13E-10
4, os,6000,4500, 1.08E-10
5, os,6000,4500, 1.13E-10
1, qr,6000,4500, 9.64E-11
2, qr,6000,4500, 9.59E-11
3, qr,6000,4500, 9.61E-11
4, qr,6000,4500, 9.4E-11
5, qr,6000,4500, 1.03E-10
1, lupp,6000,5000,5.15E-12
2, lupp,6000,5000,5.41E-12
3, lupp,6000,5000,5.77E-12
4, lupp,6000,5000,5.52E-12
5, lupp,6000,5000,5.24E-12
1, os,6000,5000,5.80E-12
2, os,6000,5000,6.25E-12
3, os,6000,5000,5.62E-12
4, os,6000,5000,5.82E-12
5, os,6000,5000,5.84E-12
1, qr,6000,5000,5.19E-12
2, qr,6000,5000,5.16E-12
3, qr,6000,5000,5.30E-12
4, qr,6000,5000,5.23E-12
5, qr,6000,5000,5.31E-12
1,svd,6000,500,0.0464
1,svd,6000,1000,0.002
1,svd,6000,1500,9.98E-05
1,svd,6000,2000,4.63E-06
1,svd,6000,2500, 2.15E-07
1,svd,6000,3000, 9.97E-09
1,svd,6000,3500, 4.6250E-10
1,svd,6000,4000, 2.14E-11
1,svd,6000,4500, 9.95E-13
1,svd,6000,5000, 4.62E-14
1,svds,6000,500,0.0509
1,svds,6000,1000,0.0024
1,svds,6000,1500,1.10E-04
1,svds,6000,2000,5.08E-06
1,svds,6000,2500,3.08E-07
