threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
0.01,4.6668392381635e-4,4.6706758701117e-4,4.686801813513e-4
0.01,4.6666184331199e-4,4.6688754422573e-4,4.686801813513e-4
0.01,4.6688534520751e-4,4.6670416839848e-4,4.686801813513e-4
0.01,4.6678128037822e-4,4.6644956871254e-4,4.686801813513e-4
0.01,4.6724282373333e-4,4.6709087820778e-4,4.686801813513e-4
0.01,4.682946191999e-4,4.6719449361822e-4,4.686801813513e-4
0.01,4.6744091885118e-4,4.664751391089e-4,4.686801813513e-4
0.01,4.6785361385627e-4,4.6677951654835e-4,4.686801813513e-4
0.01,4.6677578877821e-4,4.6720320406261e-4,4.686801813513e-4
0.01,4.6798111843177e-4,4.6659227225973e-4,4.686801813513e-4
