threshold,LUPP_sketch_cur,LUPP_iterative_cur,svds
1e-6,8.24060225398499e-14,8.514029577175e-14,4.67650911665305e-15
1e-6,1.00740419954548e-13,9.34654445557254e-14,4.67650911665305e-15
1e-6,9.4385411115121e-14,1.00347969489163e-13,4.67650911665305e-15
1e-6,9.968919107818431e-14,1.00832734235662e-13,4.67650911665305e-15
1e-6,9.576573556880081e-14,9.14029661969814e-14,4.67650911665305e-15
1e-6,9.76547410619508e-14,9.97415165032482e-14,4.67650911665305e-15
1e-6,9.79949524374847e-14,8.74318059378557e-14,4.67650911665305e-15
1e-6,9.85794098290598e-14,9.90397404010735e-14,4.67650911665305e-15
1e-6,9.543512818182541e-14,9.622327876485411e-14,4.67650911665305e-15
1e-6,9.45251673279688e-14,9.4631403965152e-14,4.67650911665305e-15
