sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,3.124693,20,20,1.20234845365859e-07,3.08949495517908e-07,4.35795921936616e-07,LUPP_sketch_cur,1e-05,Cauchy
2,0.373641,20,20,8.74449543955681e-08,1.42290166303642e-07,4.13839843697555e-07,LUPP_sketch_cur,1e-05,Cauchy
3,0.366238,20,20,2.15867209838549e-07,4.26095014921083e-07,9.26418779544891e-07,LUPP_sketch_cur,1e-05,Cauchy
4,0.393895,20,20,6.58404467608339e-07,6.04804640000726e-07,1.86732275200176e-06,LUPP_sketch_cur,1e-05,Cauchy
5,0.257573,20,20,1.97931575264557e-07,3.29378873293612e-07,5.28804806953641e-07,LUPP_sketch_cur,1e-05,Cauchy
6,0.341416,20,20,1.190666116382e-07,1.60141552627831e-07,2.3543392932933e-07,LUPP_sketch_cur,1e-05,Cauchy
7,0.299449,20,20,3.61056263121602e-07,3.28561000465094e-07,7.68556131478467e-07,LUPP_sketch_cur,1e-05,Cauchy
8,0.287443,20,20,1.6768758959567e-07,2.65120096096006e-07,4.77348521659506e-07,LUPP_sketch_cur,1e-05,Cauchy
9,0.218304,20,20,5.44953361930044e-07,1.09799821540626e-06,2.09558325716792e-06,LUPP_sketch_cur,1e-05,Cauchy
10,0.312535,20,20,1.59240088500463e-07,2.46226473562246e-07,4.64063530822685e-07,LUPP_sketch_cur,1e-05,Cauchy
