sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,2.155796,20,20,2.34139592090205e-07,3.66033924193843e-07,6.92345690024167e-07,LUPP_sketch_cur,1e-05,Hilbert
2,0.213217,20,20,4.00131444114218e-07,9.6827022368707e-07,2.06850384871714e-06,LUPP_sketch_cur,1e-05,Hilbert
3,0.295374,20,20,2.49677611970211e-07,3.93326320006519e-07,5.74616129751402e-07,LUPP_sketch_cur,1e-05,Hilbert
4,0.29745,20,20,1.37304508634584e-06,7.83959453319511e-07,2.28192995167286e-06,LUPP_sketch_cur,1e-05,Hilbert
5,0.370776,20,20,2.44119596267335e-07,3.59710080046984e-07,6.57079773616265e-07,LUPP_sketch_cur,1e-05,Hilbert
6,0.317236,20,20,2.57907764150058e-07,3.6889083145256e-07,8.12716908103775e-07,LUPP_sketch_cur,1e-05,Hilbert
7,0.319354,20,20,4.05803113870553e-07,4.38003036045723e-07,8.36656240938233e-07,LUPP_sketch_cur,1e-05,Hilbert
8,0.315535,20,20,5.80576357882526e-07,6.3472195783114e-07,1.33585255625338e-06,LUPP_sketch_cur,1e-05,Hilbert
9,0.277383,20,20,5.60927706568618e-07,3.5976232864102e-07,1.23321351485843e-06,LUPP_sketch_cur,1e-05,Hilbert
10,0.251336,20,20,2.07606950833527e-07,2.25329304655169e-07,4.1835176096366e-07,LUPP_sketch_cur,1e-05,Hilbert
