sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,67.720251,2000,2000,7.63134945321267e-15,7.75125992693207e-15,9.54193777025048e-14,LUPP_sketch_cur,1e-05,Low_Rank
2,60.596336,2000,2000,7.6549824440297e-15,7.46726613293491e-15,8.86215235785621e-14,LUPP_sketch_cur,1e-05,Low_Rank
3,55.117321,2000,2000,7.18091280959632e-15,7.14731257970467e-15,8.72973731276601e-14,LUPP_sketch_cur,1e-05,Low_Rank
4,54.780165,2000,2000,7.49542400757728e-15,7.57175384641428e-15,8.95538773289328e-14,LUPP_sketch_cur,1e-05,Low_Rank
5,59.90203,2000,2000,7.63120789082871e-15,7.57910965569072e-15,9.52333073093652e-14,LUPP_sketch_cur,1e-05,Low_Rank
6,73.40991,2000,2000,7.69786306744826e-15,7.19153717574734e-15,9.10492496741663e-14,LUPP_sketch_cur,1e-05,Low_Rank
7,51.616512,2000,2000,7.7372923706111e-15,7.79593263383533e-15,9.78688528818053e-14,LUPP_sketch_cur,1e-05,Low_Rank
8,54.425128,2000,2000,7.62037712259114e-15,7.51713253027094e-15,9.60035941817712e-14,LUPP_sketch_cur,1e-05,Low_Rank
9,49.280669,2000,2000,7.42270368777489e-15,8.10052923196361e-15,9.94275602504146e-14,LUPP_sketch_cur,1e-05,Low_Rank
10,50.712586,2000,2000,7.43946755496526e-15,7.26922566839417e-15,8.70294352047766e-14,LUPP_sketch_cur,1e-05,Low_Rank
