sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,62.306708,2400,2400,2.96072403320072e-05,3.19049057925526e-05,0.00134374511194016,LUPP_sketch_cur,1e-05,Low_Rank_PD
2,53.203344,2400,2400,3.23703381482095e-05,3.12565247288144e-05,0.0011315736684803,LUPP_sketch_cur,1e-05,Low_Rank_PD
3,57.889798,2400,2400,3.20571694436199e-05,3.15793741770606e-05,0.00140047775806433,LUPP_sketch_cur,1e-05,Low_Rank_PD
4,52.499945,2400,2400,3.11597850533544e-05,3.18180637730637e-05,0.00120792833093018,LUPP_sketch_cur,1e-05,Low_Rank_PD
5,51.618573,2400,2400,3.3170253809709e-05,3.17839574563395e-05,0.00113566608436606,LUPP_sketch_cur,1e-05,Low_Rank_PD
6,64.710895,2400,2400,3.18097889728201e-05,3.13988616463155e-05,0.00109940307246872,LUPP_sketch_cur,1e-05,Low_Rank_PD
7,40.802871,2400,2400,3.20880302520986e-05,3.26101041130079e-05,0.00115322497019962,LUPP_sketch_cur,1e-05,Low_Rank_PD
8,53.399676,2400,2400,3.01793681594013e-05,3.007878713648e-05,0.00126084397505587,LUPP_sketch_cur,1e-05,Low_Rank_PD
9,55.68325,2400,2400,2.9884428535953e-05,2.95951773885251e-05,0.000896354867291705,LUPP_sketch_cur,1e-05,Low_Rank_PD
10,38.608824,2400,2400,3.18156914056713e-05,3.28285882350879e-05,0.00137681556126235,LUPP_sketch_cur,1e-05,Low_Rank_PD
