sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,152.301493,2740,2740,0.0200095474132413,0.0200305325983846,0.254805539433094,LUPP_sketch_cur,0.01,RandSVD
2,108.985299,2740,2740,0.0199769138895861,0.0199564306287262,0.25906095143914,LUPP_sketch_cur,0.01,RandSVD
3,102.621243,2740,2740,0.0199884623321859,0.0199618689493435,0.257555343570318,LUPP_sketch_cur,0.01,RandSVD
4,164.796862,2740,2740,0.0199954719776294,0.0199975608000072,0.251669972901831,LUPP_sketch_cur,0.01,RandSVD
5,94.812337,2740,2740,0.0200306396077161,0.0199552069366765,0.25738255379057,LUPP_sketch_cur,0.01,RandSVD
6,104.286325,2740,2740,0.0199776122693453,0.0199328801203463,0.256744761961465,LUPP_sketch_cur,0.01,RandSVD
7,130.096353,2740,2740,0.0200254593705513,0.0199916365299554,0.264606239756878,LUPP_sketch_cur,0.01,RandSVD
8,105.705474,2740,2740,0.0200128240331534,0.020049841121485,0.270298637763902,LUPP_sketch_cur,0.01,RandSVD
9,98.604123,2740,2740,0.0200154462732035,0.0199946950697784,0.262734517276669,LUPP_sketch_cur,0.01,RandSVD
10,160.198678,2740,2740,0.0200098614940365,0.0199887861286006,0.25720635304613,LUPP_sketch_cur,0.01,RandSVD
