sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,1.288301,250,250,0.039439395180768,0.0394377967411553,0.0395075861509297,LUPP_sketch_cur,0.1,TSOPF
2,2.009886,250,250,0.0394602311949536,0.0394626750976009,0.0395378672319231,LUPP_sketch_cur,0.1,TSOPF
3,1.597178,250,250,0.0394453289318178,0.0394631617422368,0.0395450275063231,LUPP_sketch_cur,0.1,TSOPF
4,1.647472,250,250,0.0394475182303947,0.039458311986988,0.0395661645404465,LUPP_sketch_cur,0.1,TSOPF
5,1.763148,250,250,0.0394429527060262,0.0394582478190059,0.0395459074944259,LUPP_sketch_cur,0.1,TSOPF
6,1.116271,250,250,0.0394614928002185,0.039461540877053,0.0395761128618959,LUPP_sketch_cur,0.1,TSOPF
7,0.864575,250,250,0.0394518611074093,0.0394598017436496,0.0395524749078378,LUPP_sketch_cur,0.1,TSOPF
8,1.089691,250,250,0.039449512378943,0.0394606779107207,0.0395317638666028,LUPP_sketch_cur,0.1,TSOPF
9,0.906372,250,250,0.0394433526759661,0.0394529194607615,0.0395581402105074,LUPP_sketch_cur,0.1,TSOPF
10,0.831818,250,250,0.0394546870111686,0.0394708352259573,0.0395970267766328,LUPP_sketch_cur,0.1,TSOPF
