sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,17.574747,4000,4000,0.000465943173228211,0.000465938067177512,0.000465943174273218,LUPP_sketch_cur,0.0005,bayer01
2,18.173888,4000,4000,0.000465943203952268,0.000465938050571984,0.000465943204931581,LUPP_sketch_cur,0.0005,bayer01
3,17.021505,4000,4000,0.000465943183804537,0.000465938122847542,0.000465943184392078,LUPP_sketch_cur,0.0005,bayer01
4,17.470844,4000,4000,0.000465943083830234,0.00046593799297563,0.000465943084977667,LUPP_sketch_cur,0.0005,bayer01
5,17.767959,4000,4000,0.000465943197605462,0.000465938114184947,0.000465943197995414,LUPP_sketch_cur,0.0005,bayer01
6,17.981702,4000,4000,0.000465943228813403,0.000465938271874553,0.000465943231122807,LUPP_sketch_cur,0.0005,bayer01
7,17.800012,4000,4000,0.000465943129228417,0.000465938133167127,0.000465943130451709,LUPP_sketch_cur,0.0005,bayer01
8,16.387379,4000,4000,0.00046595108820841,0.000465945987999431,0.000465951090013449,LUPP_sketch_cur,0.0005,bayer01
9,14.992259,4000,4000,0.000465943277556337,0.000465938282865657,0.000465943279277601,LUPP_sketch_cur,0.0005,bayer01
10,16.856767,4000,4000,0.000465943130591321,0.000465938107578742,0.000465943131961333,LUPP_sketch_cur,0.0005,bayer01
