sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,8.360956,1750,1750,0.0952719296208282,0.0952719296208282,0.0957748407863781,LUPP_sketch_cur,0.1,bcircuit
2,10.728412,1750,1750,0.0953101576907895,0.0953101576907895,0.0958133363369248,LUPP_sketch_cur,0.1,bcircuit
3,10.066205,1750,1750,0.0953941248504213,0.0953941248504214,0.0959061991918463,LUPP_sketch_cur,0.1,bcircuit
4,8.309808,1750,1750,0.0954635669526569,0.0954635669526569,0.0959534234520297,LUPP_sketch_cur,0.1,bcircuit
5,12.030875,1750,1750,0.0953628549113714,0.0953628549113714,0.0958810761430206,LUPP_sketch_cur,0.1,bcircuit
6,11.200298,1750,1750,0.0953236727628514,0.0953236727628514,0.0958214618935459,LUPP_sketch_cur,0.1,bcircuit
7,10.571051,1750,1750,0.0954178511552591,0.0954178511552591,0.0959047568737173,LUPP_sketch_cur,0.1,bcircuit
8,9.141665,1750,1750,0.0953177879400171,0.0953177879400171,0.0958183090076846,LUPP_sketch_cur,0.1,bcircuit
9,10.189796,1750,1750,0.0952595555389065,0.0952595555389065,0.0957662371024582,LUPP_sketch_cur,0.1,bcircuit
10,7.946803,1750,1750,0.0954441273775201,0.0954441273775202,0.0959482848226412,LUPP_sketch_cur,0.1,bcircuit
