sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,4.315006,1500,1500,0.000465042007963306,0.000466222254798332,0.000466683923816354,LUPP_sketch_cur,0.01,c-67
2,4.086986,1500,1500,0.000464843011945253,0.000466038295994481,0.000466661843311998,LUPP_sketch_cur,0.01,c-67
3,4.042916,1500,1500,0.000465243742756418,0.000466421485642764,0.000466885345207519,LUPP_sketch_cur,0.01,c-67
4,4.361484,1500,1500,0.000465140550417094,0.000466317070411084,0.000466781280378226,LUPP_sketch_cur,0.01,c-67
5,4.610234,1500,1500,0.000465411683424116,0.000466617954389009,0.000467242823733335,LUPP_sketch_cur,0.01,c-67
6,3.824973,1500,1500,0.000466667683696052,0.000467836321901838,0.000468294619199907,LUPP_sketch_cur,0.01,c-67
7,3.728793,1500,1500,0.000465776370387901,0.00046697644119894,0.000467440918851188,LUPP_sketch_cur,0.01,c-67
8,3.635539,1500,1500,0.000466213488139842,0.000467389540616185,0.000467853613856272,LUPP_sketch_cur,0.01,c-67
9,3.680612,1500,1500,0.000465138891347725,0.000466313204900438,0.000466775788778216,LUPP_sketch_cur,0.01,c-67
10,3.682234,1500,1500,0.000466338258561002,0.000467516270037872,0.000467981118431773,LUPP_sketch_cur,0.01,c-67
