sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,24.525947,2750,2750,0.000635796323424908,0.000635796323424908,0.000642019325974125,LUPP_sketch_cur,0.0007,ct20stif
2,19.265666,2750,2750,0.000636481277822247,0.000636481277822247,0.000643037567650679,LUPP_sketch_cur,0.0007,ct20stif
3,18.79756,2750,2750,0.000635671159288813,0.000635671159288813,0.000642010282220422,LUPP_sketch_cur,0.0007,ct20stif
4,18.078886,2750,2750,0.000635408995369918,0.000635408995369918,0.000641771400097494,LUPP_sketch_cur,0.0007,ct20stif
5,18.465711,2750,2750,0.00063558824455607,0.00063558824455607,0.000642026900139772,LUPP_sketch_cur,0.0007,ct20stif
6,18.926931,2750,2750,0.000635990972302313,0.000635990972302313,0.000642521204464005,LUPP_sketch_cur,0.0007,ct20stif
7,18.423943,2750,2750,0.000636358815054226,0.000636358815054226,0.000642796092991545,LUPP_sketch_cur,0.0007,ct20stif
8,15.986806,2750,2750,0.000635114409045531,0.000635114409045531,0.000641490691864684,LUPP_sketch_cur,0.0007,ct20stif
9,15.441705,2750,2750,0.000635563624184692,0.000635563624184692,0.000641881642355037,LUPP_sketch_cur,0.0007,ct20stif
10,15.151384,2750,2750,0.000636319707539664,0.000636319707539664,0.000642809833354155,LUPP_sketch_cur,0.0007,ct20stif
