sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,13.609948,1500,1500,0.0449940690501596,0.0509471388352347,0.0547026498119511,LUPP_sketch_cur,0.06,g7jac200
2,13.629954,1500,1500,0.0453302204517901,0.0506370242398095,0.0549999644115871,LUPP_sketch_cur,0.06,g7jac200
3,12.916533,1500,1500,0.0448350347918876,0.0497082735403312,0.0531382512839243,LUPP_sketch_cur,0.06,g7jac200
4,8.972892,1500,1500,0.0447102714668626,0.0508852919658868,0.0545840169989351,LUPP_sketch_cur,0.06,g7jac200
5,9.808216,1500,1500,0.0451118987442499,0.0501621696232989,0.0537905863657657,LUPP_sketch_cur,0.06,g7jac200
6,9.574949,1500,1500,0.0447520885137205,0.0501711814340838,0.053544384470003,LUPP_sketch_cur,0.06,g7jac200
7,8.689606,1500,1500,0.0447362058850717,0.0500555761924785,0.0538608351027542,LUPP_sketch_cur,0.06,g7jac200
8,6.00244,1500,1500,0.0451608650890557,0.0505469543787818,0.0542890642866276,LUPP_sketch_cur,0.06,g7jac200
9,7.574109,1500,1500,0.0447283417687527,0.0500077519210421,0.0536262204201853,LUPP_sketch_cur,0.06,g7jac200
10,7.451928,1500,1500,0.0452883573310373,0.0504821930114144,0.0539280365769171,LUPP_sketch_cur,0.06,g7jac200
