sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,7.041004,1250,1250,0.0332976409692479,0.0332765710770279,0.0333140395479308,LUPP_sketch_cur,0.05,mark3
2,6.806673,1250,1250,0.0332623618922285,0.0332406654497658,0.0332785231938594,LUPP_sketch_cur,0.05,mark3
3,8.489956,1250,1250,0.0332127533988386,0.0331916431545188,0.0332292075942949,LUPP_sketch_cur,0.05,mark3
4,8.49797,1250,1250,0.0331465133565813,0.033125382386603,0.0331630210404107,LUPP_sketch_cur,0.05,mark3
5,6.03091,1250,1250,0.0332125826928688,0.033191454720592,0.0332290185163854,LUPP_sketch_cur,0.05,mark3
6,8.932005,1250,1250,0.0333002160497993,0.033279130107323,0.0333167158124831,LUPP_sketch_cur,0.05,mark3
7,8.867703,1250,1250,0.0333679798976469,0.033347209149572,0.033384599617667,LUPP_sketch_cur,0.05,mark3
8,4.245997,1250,1250,0.0333629455226458,0.0333418336831316,0.0333795446923677,LUPP_sketch_cur,0.05,mark3
9,4.150861,1250,1250,0.0333824179585316,0.0333614316034457,0.0333988054911507,LUPP_sketch_cur,0.05,mark3
10,5.514528,1250,1250,0.0332543348742285,0.033232937016742,0.0332707718287241,LUPP_sketch_cur,0.05,mark3
