sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,2.349266,250,250,0.048561895037543,0.0485620080381341,0.0485809869344624,LUPP_sketch_cur,0.05,randLOW
2,0.100733,250,250,0.0484052176043399,0.0484050112224655,0.0484234743171326,LUPP_sketch_cur,0.05,randLOW
3,0.102663,250,250,0.0483537907193213,0.048353911962507,0.048371887156379,LUPP_sketch_cur,0.05,randLOW
4,0.078525,250,250,0.0484058728881496,0.0484061032661304,0.048424198061148,LUPP_sketch_cur,0.05,randLOW
5,0.075616,250,250,0.0487113619928633,0.0487111306101828,0.0487306879670273,LUPP_sketch_cur,0.05,randLOW
6,0.075552,250,250,0.0484786440774842,0.0484787394497573,0.0484971968404195,LUPP_sketch_cur,0.05,randLOW
7,0.078178,250,250,0.0483148784302839,0.0483151310921834,0.0483329628897265,LUPP_sketch_cur,0.05,randLOW
8,0.064058,250,250,0.0483504607376135,0.0483504657338924,0.0483685577906116,LUPP_sketch_cur,0.05,randLOW
9,0.078065,250,250,0.0486113641387112,0.0486116609924208,0.0486305696569525,LUPP_sketch_cur,0.05,randLOW
10,0.083533,250,250,0.0484195006812281,0.048419149032171,0.0484375669830555,LUPP_sketch_cur,0.05,randLOW
