sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,1.624305,1500,1500,0.0503303666095455,0.0503303666095455,0.073762602449948,LUPP_sketch_cur,0.05,randcorr
2,0.344036,1500,1500,0.0501208878899377,0.0501208878899377,0.0733108563474219,LUPP_sketch_cur,0.05,randcorr
3,0.269724,1500,1500,0.0501055628246026,0.0501055628246026,0.0734988778893514,LUPP_sketch_cur,0.05,randcorr
4,0.320561,1500,1500,0.0501862263373061,0.0501862263373061,0.0734164727817474,LUPP_sketch_cur,0.05,randcorr
5,0.270136,1500,1500,0.0498520655650196,0.0498520655650196,0.0729264056190905,LUPP_sketch_cur,0.05,randcorr
6,0.237206,1500,1500,0.0500974280190278,0.0500974280190278,0.073423820851991,LUPP_sketch_cur,0.05,randcorr
7,0.248474,1500,1500,0.0501186439972306,0.0501186439972306,0.0735505286111296,LUPP_sketch_cur,0.05,randcorr
8,0.260488,1500,1500,0.0499597690068413,0.0499597690068413,0.0730654953727228,LUPP_sketch_cur,0.05,randcorr
9,0.266449,1500,1500,0.0499830376668721,0.0499830376668721,0.0731854311182932,LUPP_sketch_cur,0.05,randcorr
10,0.250719,1500,1500,0.0500413861819366,0.0500413861819366,0.0732190604376617,LUPP_sketch_cur,0.05,randcorr
