sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,12.087167,1500,1500,0.0795127929616496,0.0854643138974295,0.0879921414279056,LUPP_sketch_cur,0.1,venkat01
2,12.685863,1500,1500,0.0793998308892816,0.0853184237859587,0.0877473515029606,LUPP_sketch_cur,0.1,venkat01
3,9.870356,1500,1500,0.0796101703188271,0.0859037136568467,0.0884560572868492,LUPP_sketch_cur,0.1,venkat01
4,13.260685,1500,1500,0.079558251101654,0.0854272989467166,0.087917339205868,LUPP_sketch_cur,0.1,venkat01
5,12.284491,1500,1500,0.0794571842215902,0.0858067706454464,0.0882883272822672,LUPP_sketch_cur,0.1,venkat01
6,9.730741,1500,1500,0.0792699637856669,0.085661585583502,0.0882026420996687,LUPP_sketch_cur,0.1,venkat01
7,12.277899,1500,1500,0.0798960629225706,0.0862720207382823,0.0890072653371878,LUPP_sketch_cur,0.1,venkat01
8,10.302117,1500,1500,0.0796613716966584,0.0859308215130192,0.0884761927283589,LUPP_sketch_cur,0.1,venkat01
9,8.839885,1500,1500,0.079599588225733,0.085893333778485,0.0885021788916055,LUPP_sketch_cur,0.1,venkat01
10,10.90808,1500,1500,0.0793692417074687,0.0856690667642643,0.088344947538364,LUPP_sketch_cur,0.1,venkat01
