sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,1.624587,20,20,2.53720195690747e-07,1.59904196958712e-07,4.07807910881909e-07,LUPP_iterative_cur,1e-05,Cauchy
2,0.242193,20,20,1.84005671521993e-07,4.15298131678091e-07,8.23657468328173e-07,LUPP_iterative_cur,1e-05,Cauchy
3,0.258541,20,20,1.02960772857403e-07,1.67746363575139e-07,3.04777266129666e-07,LUPP_iterative_cur,1e-05,Cauchy
4,0.21475,20,20,1.72149138372086e-07,1.55868895835551e-07,3.78431287444219e-07,LUPP_iterative_cur,1e-05,Cauchy
5,0.249711,20,20,3.18549832455865e-07,4.73683068540203e-07,9.01301955618744e-07,LUPP_iterative_cur,1e-05,Cauchy
6,0.233037,20,20,1.85459993363708e-07,2.60131606623179e-07,4.53686477709166e-07,LUPP_iterative_cur,1e-05,Cauchy
7,0.244406,20,20,3.75280870582049e-07,8.25203162595188e-07,1.5795922306129e-06,LUPP_iterative_cur,1e-05,Cauchy
8,0.226884,20,20,1.17238383581546e-07,7.86572313543032e-08,1.81959450826332e-07,LUPP_iterative_cur,1e-05,Cauchy
9,0.253518,20,20,2.17570220693348e-07,2.88598343126797e-07,5.49587058758824e-07,LUPP_iterative_cur,1e-05,Cauchy
10,0.297615,20,20,1.05715513884742e-07,3.44461113225185e-07,5.88905334674185e-07,LUPP_iterative_cur,1e-05,Cauchy
