sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,3.945997,20,20,4.51147344496571e-07,3.87555540127786e-07,9.44142633110734e-07,LUPP_iterative_cur,1e-05,Hilbert
2,0.208404,20,20,1.93985680776996e-07,3.06727776269815e-07,5.30184282048717e-07,LUPP_iterative_cur,1e-05,Hilbert
3,0.220161,20,20,3.78463544623169e-07,3.17710057247859e-07,6.7175449819533e-07,LUPP_iterative_cur,1e-05,Hilbert
4,0.201392,20,20,3.04539395920332e-07,5.91680894259599e-07,1.153495064895e-06,LUPP_iterative_cur,1e-05,Hilbert
5,0.240458,20,20,4.14548082621112e-07,3.33116569285224e-07,6.84194256838202e-07,LUPP_iterative_cur,1e-05,Hilbert
6,0.203563,20,20,1.02279091670111e-07,1.15184720310856e-07,2.07767211937853e-07,LUPP_iterative_cur,1e-05,Hilbert
7,0.254593,20,20,2.27149226014827e-07,4.23176321449176e-07,5.7220135586693e-07,LUPP_iterative_cur,1e-05,Hilbert
8,0.234628,20,20,8.79797594475917e-07,4.21816871427289e-07,1.46477215744263e-06,LUPP_iterative_cur,1e-05,Hilbert
9,0.268226,20,20,1.25218458185979e-06,1.17782231468512e-06,3.20744480709671e-06,LUPP_iterative_cur,1e-05,Hilbert
10,0.232679,20,20,1.05961527304116e-07,1.79900704729564e-07,2.80992397775742e-07,LUPP_iterative_cur,1e-05,Hilbert
