sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,13.643015,2000,2000,7.64957083872195e-15,7.47157842869207e-15,8.514029577175e-14,LUPP_iterative_cur,1e-06,Low_Rank
2,13.055331,2000,2000,7.78426829671131e-15,7.81627905143365e-15,9.34654445557254e-14,LUPP_iterative_cur,1e-06,Low_Rank
3,13.232543,2000,2000,7.63635346985918e-15,8.05058735876921e-15,1.00347969489163e-13,LUPP_iterative_cur,1e-06,Low_Rank
4,12.802583,2000,2000,7.82916694502697e-15,8.17502832900036e-15,1.00832734235662e-13,LUPP_iterative_cur,1e-06,Low_Rank
5,13.161471,2000,2000,7.89361349914838e-15,7.12781930728351e-15,9.14029661969814e-14,LUPP_iterative_cur,1e-06,Low_Rank
6,13.11513,2000,2000,7.93448156062395e-15,8.11604883617478e-15,9.97415165032482e-14,LUPP_iterative_cur,1e-06,Low_Rank
7,12.88316,2000,2000,7.59486192828523e-15,7.29249512528527e-15,8.74318059378557e-14,LUPP_iterative_cur,1e-06,Low_Rank
8,12.432776,2000,2000,7.56441510889669e-15,8.08178186029859e-15,9.90397404010735e-14,LUPP_iterative_cur,1e-06,Low_Rank
9,12.773333,2000,2000,7.69263789396707e-15,7.97244976496065e-15,9.62232787648541e-14,LUPP_iterative_cur,1e-06,Low_Rank
10,12.814257,2000,2000,7.63270031604088e-15,7.51719107606735e-15,9.4631403965152e-14,LUPP_iterative_cur,1e-06,Low_Rank
