sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,1119.088073,4000,4000,4.39914166399004e-07,4.34211008534251e-07,2.96086221414255e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
2,1268.114366,4060,4060,3.92346024883499e-07,3.85754252696332e-07,3.10803602223523e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
3,954.610679,3880,3880,5.69288142424785e-07,5.62657904882061e-07,3.88542226734159e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
4,1219.317559,4020,4020,4.32909612578801e-07,4.238337170523e-07,3.04202748809592e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
5,1172.902161,4000,4000,4.59021254330543e-07,4.55395743913854e-07,2.89711875493874e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
6,1225.400071,4040,4040,4.05293605338263e-07,3.99856522517419e-07,3.12089770158676e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
7,1308.173176,4080,4080,3.9144316328219e-07,3.84710261642482e-07,3.12735635304204e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
8,1042.296041,3880,3880,5.75656811534862e-07,5.67202052017452e-07,3.59303586901281e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
9,1084.504871,3880,3880,5.65020874592778e-07,5.55251748992827e-07,3.71855235854875e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
10,1275.595403,4020,4020,4.43356292995652e-07,4.34320757162719e-07,3.23020413353973e-06,LUPP_iterative_cur,1e-05,Low_Rank_PD
