sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,220.573942,8000,8000,0.000235561807857892,0.00023550585246214,0.00493411365816324,LUPP_iterative_cur,0.005,RandSVD
2,215.02833,8000,8000,0.00023539054717569,0.000235843873251864,0.0047308170407791,LUPP_iterative_cur,0.005,RandSVD
3,237.517267,8250,8250,0.000175972320465267,0.000176375618956555,0.00382314611804827,LUPP_iterative_cur,0.005,RandSVD
4,250.610067,8250,8250,0.000176346896982489,0.00017597576936752,0.00371828522489253,LUPP_iterative_cur,0.005,RandSVD
5,246.640885,8250,8250,0.000175990642740734,0.000176332923332143,0.00416839064925303,LUPP_iterative_cur,0.005,RandSVD
6,222.458313,8000,8000,0.000235856683414696,0.000235605269531091,0.00479734082783005,LUPP_iterative_cur,0.005,RandSVD
7,223.052364,8000,8000,0.000235738071515505,0.000235869644617586,0.0048966719945,LUPP_iterative_cur,0.005,RandSVD
8,226.872055,8000,8000,0.000235535079976767,0.000236198230670268,0.00479518278578187,LUPP_iterative_cur,0.005,RandSVD
9,227.191686,8000,8000,0.000235943503415263,0.000235973419183092,0.0050463256608377,LUPP_iterative_cur,0.005,RandSVD
10,236.59177,8250,8250,0.000176181912156571,0.000175972121318592,0.00378567319811652,LUPP_iterative_cur,0.005,RandSVD
