sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,1.213214,250,250,0.0394400840228358,0.0394432811151612,0.0395297596314743,LUPP_iterative_cur,0.1,TSOPF
2,1.206886,250,250,0.039473461712628,0.039481023135206,0.0395937710863429,LUPP_iterative_cur,0.1,TSOPF
3,1.283581,250,250,0.0394611210604984,0.0394647938388409,0.0395623257512223,LUPP_iterative_cur,0.1,TSOPF
4,1.279061,250,250,0.039469660392292,0.0394789324604225,0.0395611709380702,LUPP_iterative_cur,0.1,TSOPF
5,1.396112,250,250,0.0394334362695009,0.0394464897832111,0.0395316970199714,LUPP_iterative_cur,0.1,TSOPF
6,1.272988,250,250,0.0394652524673688,0.0394748947659189,0.039606928795041,LUPP_iterative_cur,0.1,TSOPF
7,1.135433,250,250,0.0394568421237222,0.0394655238044232,0.039621562789547,LUPP_iterative_cur,0.1,TSOPF
8,1.512141,250,250,0.0394711775351534,0.0394766860159015,0.0395958131809722,LUPP_iterative_cur,0.1,TSOPF
9,1.2194,250,250,0.0394410240261538,0.0394447810087508,0.0395235174754985,LUPP_iterative_cur,0.1,TSOPF
10,1.241351,250,250,0.0394756705378888,0.0394761785936179,0.0395812977818146,LUPP_iterative_cur,0.1,TSOPF
