sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,7.509951,3500,3500,0.000490004646840662,0.000489999831994952,0.000490004648562709,LUPP_iterative_cur,0.0005,bayer01
2,6.973881,3250,3250,0.000501602733916722,0.000501598102045709,0.000501602735642039,LUPP_iterative_cur,0.0005,bayer01
3,7.073533,3250,3250,0.000501602777002551,0.000501597991040341,0.000501602778961441,LUPP_iterative_cur,0.0005,bayer01
4,6.907436,3250,3250,0.000501602697647974,0.000501597993846453,0.000501602699225233,LUPP_iterative_cur,0.0005,bayer01
5,7.006287,3250,3250,0.000501602690336111,0.000501597986965767,0.000501602692162723,LUPP_iterative_cur,0.0005,bayer01
6,5.825688,3000,3000,0.000512938666852136,0.000512934071009522,0.000512938668191833,LUPP_iterative_cur,0.0005,bayer01
7,5.931486,3250,3250,0.000501602846066312,0.000501598209841287,0.000501602847553554,LUPP_iterative_cur,0.0005,bayer01
8,5.77542,3000,3000,0.000512938659368391,0.000512934058528536,0.000512938659737561,LUPP_iterative_cur,0.0005,bayer01
9,6.186621,3250,3250,0.000501602774785689,0.000501598118824197,0.000501602775476801,LUPP_iterative_cur,0.0005,bayer01
10,7.335401,3750,3750,0.00047812525438774,0.000478120255017385,0.000478125255355878,LUPP_iterative_cur,0.0005,bayer01
