sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,4.469182,1750,1750,0.0951822178839299,0.0951822178839299,0.0956706889101449,LUPP_iterative_cur,0.1,bcircuit
2,4.759505,1750,1750,0.0954062161339333,0.0954062161339333,0.0959015698110144,LUPP_iterative_cur,0.1,bcircuit
3,4.915462,1750,1750,0.0953649558606021,0.0953649558606021,0.0958530205064128,LUPP_iterative_cur,0.1,bcircuit
4,4.747949,1750,1750,0.0953625561595243,0.0953625561595243,0.0958510866066421,LUPP_iterative_cur,0.1,bcircuit
5,3.736599,1500,1500,0.101452942691128,0.101452942691128,0.101898418201386,LUPP_iterative_cur,0.1,bcircuit
6,4.559584,1750,1750,0.0954444311528583,0.0954444311528583,0.0959315422805514,LUPP_iterative_cur,0.1,bcircuit
7,5.637842,1750,1750,0.0954618230531167,0.0954618230531167,0.095929227729823,LUPP_iterative_cur,0.1,bcircuit
8,5.893639,1750,1750,0.0954820609690723,0.0954820609690723,0.095978681616007,LUPP_iterative_cur,0.1,bcircuit
9,5.704371,1750,1750,0.0954383343046342,0.0954383343046341,0.0959254370196833,LUPP_iterative_cur,0.1,bcircuit
10,5.980411,1750,1750,0.095278432452038,0.095278432452038,0.0957613458268736,LUPP_iterative_cur,0.1,bcircuit
