sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,2.679911,1500,1500,0.000465425728910614,0.000466604834001318,0.000467067587011174,LUPP_iterative_cur,0.01,c-67
2,2.729931,1500,1500,0.000465245837008952,0.000466421431041201,0.000466887544225732,LUPP_iterative_cur,0.01,c-67
3,2.746237,1500,1500,0.000465094010870451,0.000466244404352813,0.000466704168398487,LUPP_iterative_cur,0.01,c-67
4,2.634988,1500,1500,0.000464832424023767,0.0004659888029855,0.000466449568712543,LUPP_iterative_cur,0.01,c-67
5,2.668349,1500,1500,0.000465464397193611,0.000466628945240416,0.000467090878207782,LUPP_iterative_cur,0.01,c-67
6,2.678736,1500,1500,0.000465558007341204,0.00046672736436331,0.000467194493618224,LUPP_iterative_cur,0.01,c-67
7,2.68817,1500,1500,0.000464828682418962,0.000466013311267636,0.0004664751391089,LUPP_iterative_cur,0.01,c-67
8,2.73819,1500,1500,0.000465135102857668,0.000466315326123162,0.000466779516548358,LUPP_iterative_cur,0.01,c-67
9,2.80309,1500,1500,0.00046557488773676,0.000466738952361087,0.000467203204062611,LUPP_iterative_cur,0.01,c-67
10,2.687157,1500,1500,0.000464945072507862,0.000466132120490246,0.000466592272259736,LUPP_iterative_cur,0.01,c-67
