sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,16.771355,2500,2500,0.00066526356299501,0.00066526356299501,0.00067127483050063,LUPP_iterative_cur,0.0007,ct20stif
2,17.858082,2500,2500,0.000664760007393835,0.000664760011881318,0.000670746533980902,LUPP_iterative_cur,0.0007,ct20stif
3,17.923456,2500,2500,0.000665341443020346,0.000665341443020346,0.000671199671903399,LUPP_iterative_cur,0.0007,ct20stif
4,17.849826,2500,2500,0.000664710028309243,0.000664710028309243,0.000670800845767949,LUPP_iterative_cur,0.0007,ct20stif
5,16.429646,2500,2500,0.000665840431159123,0.000665840431159123,0.000671746815661904,LUPP_iterative_cur,0.0007,ct20stif
6,10.409364,2250,2250,0.000698776509205487,0.000698776509205487,0.000705045740156186,LUPP_iterative_cur,0.0007,ct20stif
7,16.185174,2500,2500,0.000664662764809629,0.000664662764809629,0.000670672075330769,LUPP_iterative_cur,0.0007,ct20stif
8,20.957875,2500,2500,0.00066513002270653,0.000665130098596193,0.00067114336770687,LUPP_iterative_cur,0.0007,ct20stif
9,13.38785,2250,2250,0.000698635126318139,0.000698635126318139,0.000704680660605959,LUPP_iterative_cur,0.0007,ct20stif
10,9.716231,2250,2250,0.000698192606975984,0.000698192606975984,0.000704343562323396,LUPP_iterative_cur,0.0007,ct20stif
