sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,4.483267,1500,1500,0.045447891725883,0.0483153752129634,0.0512738048456215,LUPP_iterative_cur,0.06,g7jac200
2,4.378183,1500,1500,0.0456143595708205,0.0486243346479321,0.0515458797380696,LUPP_iterative_cur,0.06,g7jac200
3,4.764162,1500,1500,0.0460541096424266,0.0485385374043637,0.051737946197525,LUPP_iterative_cur,0.06,g7jac200
4,4.448512,1500,1500,0.0453995885614393,0.0494046521949845,0.0520501636698826,LUPP_iterative_cur,0.06,g7jac200
5,4.564001,1500,1500,0.0453822596180247,0.0492519642316188,0.0518039938640276,LUPP_iterative_cur,0.06,g7jac200
6,4.898085,1500,1500,0.0456720882498041,0.0482893260499234,0.0514842490154977,LUPP_iterative_cur,0.06,g7jac200
7,4.533843,1500,1500,0.0460744466811684,0.0493556790718379,0.0520108141611774,LUPP_iterative_cur,0.06,g7jac200
8,3.537897,1500,1500,0.045635025952433,0.0492571225392403,0.0522839379394312,LUPP_iterative_cur,0.06,g7jac200
9,5.402714,1500,1500,0.045648406717207,0.0486221755426528,0.0516593090828342,LUPP_iterative_cur,0.06,g7jac200
10,3.306656,1500,1500,0.0456718680413585,0.0488384804161761,0.0518803520483444,LUPP_iterative_cur,0.06,g7jac200
