sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,2.682626,1000,1000,0.0461493506534665,0.0461334107015689,0.0461605678755627,LUPP_iterative_cur,0.05,mark3
2,2.521429,1000,1000,0.0461873837618302,0.0461718198803946,0.0461988371500521,LUPP_iterative_cur,0.05,mark3
3,2.575148,1000,1000,0.0458702522224279,0.0458542765584651,0.0458814829680128,LUPP_iterative_cur,0.05,mark3
4,2.534679,1000,1000,0.0460530958371242,0.0460372624022493,0.046064360103888,LUPP_iterative_cur,0.05,mark3
5,2.517374,1000,1000,0.0459960242409685,0.0459799344675552,0.0460072225655491,LUPP_iterative_cur,0.05,mark3
6,2.47607,1000,1000,0.0458360927409368,0.0458201941969517,0.0458474189462063,LUPP_iterative_cur,0.05,mark3
7,2.527028,1000,1000,0.0460057147960181,0.0459898709654036,0.0460169934010797,LUPP_iterative_cur,0.05,mark3
8,2.719617,1000,1000,0.0459455611711466,0.045929504474273,0.0459566653770334,LUPP_iterative_cur,0.05,mark3
9,2.947546,1000,1000,0.0459273184359709,0.045911680696679,0.0459388522087346,LUPP_iterative_cur,0.05,mark3
10,2.560626,1000,1000,0.0458329400086262,0.0458163545683825,0.0458441754192205,LUPP_iterative_cur,0.05,mark3
