sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,50.589149,3500,3500,0.00457592484331882,0.00457599085001839,0.00461527580815961,LUPP_iterative_cur,0.005,randLOW
2,48.353726,3500,3500,0.00458768714605366,0.00458772155969794,0.00462740863180532,LUPP_iterative_cur,0.005,randLOW
3,46.883986,3500,3500,0.00457954183995435,0.00457953862685425,0.00461894351541244,LUPP_iterative_cur,0.005,randLOW
4,43.578206,3500,3500,0.00457899279896716,0.00457912365293914,0.00461847973333078,LUPP_iterative_cur,0.005,randLOW
5,45.668944,3500,3500,0.00456673038586466,0.00456678315350162,0.0046058417654821,LUPP_iterative_cur,0.005,randLOW
6,44.81111,3500,3500,0.0045876604342802,0.00458773018723455,0.00462733374089888,LUPP_iterative_cur,0.005,randLOW
7,45.400103,3500,3500,0.00458340201819051,0.00458337324785231,0.00462292290779056,LUPP_iterative_cur,0.005,randLOW
8,42.245445,3500,3500,0.00459024376832671,0.00459013371474858,0.00462987950315245,LUPP_iterative_cur,0.005,randLOW
9,48.480523,3500,3500,0.00458839471319882,0.00458842671638473,0.00462808738356013,LUPP_iterative_cur,0.005,randLOW
10,44.841112,3500,3500,0.00458099586913977,0.00458094835595458,0.00462046640133325,LUPP_iterative_cur,0.005,randLOW
