sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,2.612662,500,500,0.318414639664184,0.318414639664184,0.390131074344231,LUPP_iterative_cur,0.05,randcorr
2,0.099919,500,500,0.317480236805492,0.317480236805492,0.388100208083997,LUPP_iterative_cur,0.05,randcorr
3,0.106341,500,500,0.316982416160725,0.316982416160725,0.388228025942187,LUPP_iterative_cur,0.05,randcorr
4,0.089217,500,500,0.317176113283065,0.317176113283065,0.388630491599526,LUPP_iterative_cur,0.05,randcorr
5,0.10317,500,500,0.316941098826275,0.316941098826275,0.387323441725855,LUPP_iterative_cur,0.05,randcorr
6,0.089258,500,500,0.317350158529535,0.317350158529535,0.388070631254975,LUPP_iterative_cur,0.05,randcorr
7,0.09382,500,500,0.315658721672234,0.315658721672234,0.385325432600285,LUPP_iterative_cur,0.05,randcorr
8,0.087408,500,500,0.318410654122332,0.318410654122332,0.389663614826779,LUPP_iterative_cur,0.05,randcorr
9,0.093439,500,500,0.319003459873435,0.319003459873435,0.390498438422538,LUPP_iterative_cur,0.05,randcorr
10,0.087376,500,500,0.317982794008346,0.317982794008346,0.389437403342515,LUPP_iterative_cur,0.05,randcorr
