sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,11.035178,1500,1500,0.079961408639552,0.0844335680587928,0.0866897568437137,LUPP_iterative_cur,0.1,venkat01
2,11.011144,1500,1500,0.0797854454096852,0.0843066980792994,0.0865634211304674,LUPP_iterative_cur,0.1,venkat01
3,11.469737,1500,1500,0.0801946217531021,0.084276052283562,0.0865370405789806,LUPP_iterative_cur,0.1,venkat01
4,9.170994,1500,1500,0.0798271284235734,0.0841847907415869,0.0864823503546645,LUPP_iterative_cur,0.1,venkat01
5,8.365591,1500,1500,0.0800358025878139,0.0843180982225488,0.0865261835720918,LUPP_iterative_cur,0.1,venkat01
6,8.675243,1500,1500,0.0799759571421266,0.0840571728422866,0.0863749826286154,LUPP_iterative_cur,0.1,venkat01
7,12.755052,1500,1500,0.0798251835054096,0.0841557639070348,0.0864521320062866,LUPP_iterative_cur,0.1,venkat01
8,11.988672,1500,1500,0.0800506321763967,0.083995252322237,0.0863324289538937,LUPP_iterative_cur,0.1,venkat01
9,12.02965,1500,1500,0.079916929035748,0.0842379317602072,0.0864953918578167,LUPP_iterative_cur,0.1,venkat01
10,10.267501,1500,1500,0.0802821416022236,0.084235919100151,0.0865983145220267,LUPP_iterative_cur,0.1,venkat01
