sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,603.979978,2000,2000,6.58238411258499e-15,6.65235598018381e-15,7.33939382381774e-14,QRPP_iterative_cur,1e-05,Low_Rank
2,573.412482,2000,2000,6.54826641714906e-15,6.72044681498219e-15,7.33262609516106e-14,QRPP_iterative_cur,1e-05,Low_Rank
3,423.488069,2000,2000,6.62224938227077e-15,7.08920632064549e-15,8.01412379620918e-14,QRPP_iterative_cur,1e-05,Low_Rank
4,429.821284,2000,2000,6.96674785794917e-15,6.63852909673122e-15,7.63464461887442e-14,QRPP_iterative_cur,1e-05,Low_Rank
5,419.06472,2000,2000,6.83781126486589e-15,6.85478321519417e-15,8.17433890135086e-14,QRPP_iterative_cur,1e-05,Low_Rank
6,386.812159,2000,2000,6.71381746245048e-15,6.97841661386554e-15,7.41066685274905e-14,QRPP_iterative_cur,1e-05,Low_Rank
7,402.208845,2000,2000,6.98084488301634e-15,6.56437364547454e-15,7.55241777736638e-14,QRPP_iterative_cur,1e-05,Low_Rank
8,402.890795,2000,2000,6.90562882575077e-15,6.6042599638935e-15,7.43169912179227e-14,QRPP_iterative_cur,1e-05,Low_Rank
9,399.618856,2000,2000,7.42435169225978e-15,6.87943931593974e-15,8.72585543335453e-14,QRPP_iterative_cur,1e-05,Low_Rank
10,401.777821,2000,2000,6.76195728576722e-15,7.02345039449001e-15,7.65279814203918e-14,QRPP_iterative_cur,1e-05,Low_Rank
