sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,1772.018941,4080,4080,3.73891667174281e-07,3.65166746827187e-07,2.9090386114305e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
2,1668.624092,4020,4020,4.11232294719827e-07,4.06576137999819e-07,3.36527712355482e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
3,1476.684517,3980,3980,4.35456118252672e-07,4.35265395498633e-07,3.21343670153514e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
4,1482.412549,4000,4000,4.3653214791706e-07,4.27971679526846e-07,3.70032621520267e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
5,1562.696262,4000,4000,4.34646897248185e-07,4.30047473207195e-07,3.17090039595026e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
6,1351.309235,3980,3980,4.52495451143278e-07,4.44693833996297e-07,3.03401728716704e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
7,1159.101931,3980,3980,4.57027740427563e-07,4.44853001388593e-07,3.17646976404696e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
8,1220.086757,4040,4040,4.01602476847675e-07,3.95450081194984e-07,3.4766279062773e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
9,1053.190502,3880,3880,5.65704433087412e-07,5.53440324906674e-07,3.98222151505e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
10,1295.393176,3940,3940,4.79070041801424e-07,4.69080656287114e-07,3.49191473602441e-06,QRPP_iterative_cur,1e-05,Low_Rank_PD
