sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,3996.100124,5320,5320,0.000238681273326106,0.000238828645999626,0.00314619038611817,QRPP_iterative_cur,0.01,RandSVD
2,3532.317135,5440,5440,0.000193638424412218,0.000193521254844827,0.00264280236126455,QRPP_iterative_cur,0.01,RandSVD
3,2957.068507,5360,5360,0.000222049304455236,0.000222633867473613,0.00292479685880455,QRPP_iterative_cur,0.01,RandSVD
4,3120.711391,5360,5360,0.000221983122151433,0.000222757861407103,0.00284063653563962,QRPP_iterative_cur,0.01,RandSVD
5,3125.883313,5380,5380,0.000214508312137383,0.000215065012724436,0.00287298754409996,QRPP_iterative_cur,0.01,RandSVD
6,3257.473392,5400,5400,0.000207027407270336,0.000207184804948524,0.00278060541182007,QRPP_iterative_cur,0.01,RandSVD
7,3361.294952,5380,5380,0.000214502367261778,0.000214714934761124,0.00278046599848447,QRPP_iterative_cur,0.01,RandSVD
8,2754.79366,5360,5360,0.000222171862645523,0.000222821069908668,0.00302407789634254,QRPP_iterative_cur,0.01,RandSVD
9,2681.315514,5400,5400,0.000207120890981574,0.000206930183036305,0.00282676979765905,QRPP_iterative_cur,0.01,RandSVD
10,2705.233264,5420,5420,0.000200242055722056,0.000200023792327336,0.00269006467658402,QRPP_iterative_cur,0.01,RandSVD
