sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,2.672121,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
2,2.16222,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
3,2.36721,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
4,2.3108,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
5,2.538656,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
6,2.005566,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
7,2.527071,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
8,2.494168,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
9,2.655784,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
10,2.163482,20,20,4.2538806665677e-08,4.2349257420657e-08,0,svds,1e-05,Cauchy
