sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,2.025467,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
2,1.998599,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
3,2.013552,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
4,2.516613,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
5,2.501375,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
6,2.404501,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
7,2.57597,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
8,2.299701,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
9,2.16796,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
10,2.156709,20,20,6.06842431392941e-08,6.05212863353124e-08,5.34475370102986e-08,svds,1e-05,Hilbert
