sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,37.469016,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
2,85.14068,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
3,209.698368,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
4,405.383211,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
5,1101.094107,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
6,922.195544,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
7,927.101014,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
8,861.907528,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
9,683.985282,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
10,750.991686,2000,2000,4.64193799190097e-15,4.38299401178934e-15,0+1.74710448955168e-08i,svds,1e-05,Low_Rank
