sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,78.371752,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
2,120.56131,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
3,172.056761,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
4,213.272184,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
5,180.009897,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
6,204.350535,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
7,190.01755,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
8,177.008441,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
9,179.411635,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
10,193.406578,2500,2500,5.76455192279553e-06,5.557211731533e-06,5.76454773061188e-06,svds,0.02,Low_Rank_PD
