sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,465.846218,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
2,443.907695,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
3,407.711554,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
4,435.536903,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
5,429.951392,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
6,433.936912,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
7,387.595946,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
8,415.019294,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
9,444.487773,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
10,403.844837,4750,4750,0.00320522596960569,0.00307605277614063,0.00320522596959351,svds,0.005,RandSVD
