sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,3.092262,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
2,3.294375,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
3,3.924358,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
4,3.705824,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
5,6.624093,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
6,7.770934,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
7,10.861259,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
8,10.422607,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
9,10.002248,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
10,11.038042,250,250,0.0394749649847881,0.0394215065202939,0.0394749649847665,svds,0.1,TSOPF
