sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,105.077561,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
2,178.632015,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
3,167.026452,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
4,177.109123,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
5,170.273231,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
6,163.698583,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
7,177.189225,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
8,164.544073,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
9,172.281631,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
10,172.937276,4000,4000,0.00046691793026391,0.000466010290714785,0.000466917932335548,svds,0.0005,bayer01
