sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,34.081081,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
2,37.01046,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
3,62.952907,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
4,96.006625,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
5,91.787208,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
6,92.31653,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
7,98.428667,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
8,89.59424,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
9,84.984869,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
10,90.945352,1750,1750,0.0971066141551183,0.0953885210431635,0.0971066141551168,svds,0.1,bcircuit
