sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,178.616141,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
2,306.898423,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
3,328.068444,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
4,318.524291,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
5,243.692049,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
6,225.756446,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
7,156.665407,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
8,154.305017,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
9,161.305209,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
10,164.511151,4000,4000,0.00136930811196346,0.00133088240144117,0.00136930811205546,svds,0.002,c-69
