sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,117.424724,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
2,164.492907,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
3,169.711255,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
4,166.400816,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
5,164.025669,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
6,184.782068,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
7,165.900802,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
8,156.413877,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
9,113.010447,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
10,117.725592,2750,2750,0.000636074593683417,0.000620601606599176,0.000636074593163298,svds,0.0007,ct20stif
