sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,173.173222,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
2,173.591415,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
3,183.418935,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
4,160.08242,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
5,129.804,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
6,118.220719,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
7,109.474151,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
8,112.478972,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
9,104.936036,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
10,100.402468,1500,1500,0.0431623681055802,0.0417865682805387,0.0431623681055698,svds,0.06,g7jac200
