sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,37.617826,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
2,52.588335,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
3,58.150198,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
4,51.667577,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
5,54.700434,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
6,58.568,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
7,56.123567,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
8,58.034601,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
9,59.812849,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
10,48.916227,1250,1250,0.0351242300925902,0.0339569479986836,0.03512423009259,svds,0.05,mark3
