sample,time,n_cols,n_rows,left_accuracy,right_accuracy,overall_accuracy,method,threshold,mat_label
1,0.539982,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
2,0.300372,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
3,0.270557,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
4,0.274991,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
5,0.306527,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
6,0.350126,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
7,0.303412,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
8,0.361094,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
9,0.354724,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
10,0.308003,250,250,0.0498384335373682,0.0487692723144475,0.0498384335374014,svds,0.05,randLOW
